seed,basis_dimension,count,mean_frobenius_residual,mean_local_action_residual,median_frobenius_residual,median_local_action_residual,partition,sparsity
80821,32,224,0.9232852498060726,0.9210370755963468,0.9297645116765264,0.9270806020734643,train,1
80821,32,56,0.948686550613324,0.9469552388325558,0.9521541794788193,0.9507314478031195,eval,1
80821,32,224,0.8697378520452458,0.8658554185070308,0.876354252312858,0.872877465738985,train,2
80821,32,56,0.9097589088102455,0.9066441006763072,0.9124108495529255,0.9101777861073684,eval,2
80821,32,224,0.7899930403524881,0.7835529507890334,0.7944171536510539,0.788141951817074,train,4
80821,32,56,0.8541972322828385,0.8489128892644882,0.8569285174655443,0.8511291504602722,eval,4
80821,32,224,0.6803220247796117,0.669916970492707,0.6803825859789017,0.6706687661566642,train,8
80821,32,56,0.7777884284907752,0.7692451576208799,0.7859390307863049,0.7782197904642814,eval,8
80821,32,224,0.5635650043159257,0.5478401697714005,0.5626488937873808,0.5482980197036189,train,16
80821,32,56,0.697483243955471,0.6849378137023442,0.7074386763601983,0.6951051749483765,eval,16
80821,32,224,0.5155763345514389,0.4970521953437147,0.5153081220671243,0.4959729298968339,train,32
80821,32,56,0.6646549660048686,0.6501910228610288,0.6771259351784,0.6656859387721419,eval,32
80822,32,224,0.9247097956524498,0.9226469237859636,0.9294649944055091,0.9274818494213777,train,1
80822,32,56,0.9404626308070887,0.9384485827295103,0.9495820565538861,0.9485034030437964,eval,1
80822,32,224,0.8727651914377084,0.8691774696558323,0.8756757946199355,0.8729606500104617,train,2
80822,32,56,0.9030683794871383,0.8996368516407284,0.911351794673827,0.9074904026232689,eval,2
80822,32,224,0.794131118105376,0.7880928799209983,0.7962732847609291,0.7907308807565734,train,4
80822,32,56,0.8451931760372204,0.8394381339105255,0.8517861254792577,0.8472290103592612,eval,4
80822,32,224,0.6844837702108405,0.674682683719748,0.6830856639888732,0.6741361940187163,train,8
80822,32,56,0.7684301861577645,0.7592655566986458,0.7762850792610001,0.769865800605148,eval,8
80822,32,224,0.5640087580016576,0.5491029277061272,0.5593838871215064,0.5468884734200643,train,16
80822,32,56,0.6938362775674284,0.6809210489154752,0.6980380134299349,0.6886107774107908,eval,16
80822,32,224,0.5127776413119534,0.4952045163237007,0.5068896358518435,0.4929258027437692,train,32
80822,32,56,0.6599235690541646,0.6451464183216215,0.6635221192193342,0.6506605624726771,eval,32
