seed,count,mean_frobenius_residual,mean_local_action_residual,median_frobenius_residual,median_local_action_residual,partition,rank
80821,224,0.14366332854074532,0.005841248128409201,0.13914382799440345,0.004816136556885842,train,1
80821,224,0.1269354575882056,0.00414223937095746,0.12445363450561396,0.0036157167203227647,train,2
80821,224,0.1073324725770657,0.0030209174249770554,0.10432650236566003,0.0026357442065639814,train,4
80821,224,0.08175511163034406,0.001961045960157565,0.07988270307072057,0.0017255588606881185,train,8
80821,224,0.0502013436083583,0.0009910876424791268,0.049909964896438036,0.0008862112054239017,train,16
80821,224,0.018025353654210683,0.00027387622506351843,0.018211771613671768,0.00024372299756118235,train,32
80821,56,0.14026476324455112,0.007068009887747896,0.1368936510322465,0.0046693335356609725,eval,1
80821,56,0.12214691265990474,0.003921582967528722,0.12124931623752669,0.003528417430353298,eval,2
80821,56,0.10219962675923978,0.0027994531528354074,0.10045270622401242,0.0027059650495997786,eval,4
80821,56,0.0771335452705216,0.0017861555360877037,0.07778623017884467,0.0016843854804172054,eval,8
80821,56,0.04700554484072435,0.0008952674184647666,0.048595057620595176,0.0008679816494043327,eval,16
80821,56,0.016756658598530986,0.00024246535212839012,0.017817946630420856,0.00024495792193864264,eval,32
80822,224,0.13978706722621118,0.005684599369833804,0.13192867209813314,0.0042840658026895035,train,1
80822,224,0.12323175929536515,0.0039448116948681885,0.11732510550250723,0.0033702538981068243,train,2
80822,224,0.10415748914906811,0.002870809965069828,0.1000846639243638,0.002424612631100484,train,4
80822,224,0.07942367552314773,0.0018717151816861316,0.07790049162471863,0.0016080019125910435,train,8
80822,224,0.048913889303823295,0.00095063278226934,0.048278379046574,0.0008250331752266767,train,16
80822,224,0.017473106643702427,0.0002600951244996798,0.01784047020907715,0.00023469072089455918,train,32
80822,56,0.13857712127279317,0.006633707499007985,0.13199561274931593,0.00450922709016708,eval,1
80822,56,0.12105533494224885,0.003758749830630614,0.11834163417420218,0.0033088362171559394,eval,2
80822,56,0.10179072753527303,0.002751014030459749,0.10259199099300491,0.002514861267260593,eval,4
80822,56,0.07674494823030284,0.0017760414774666403,0.07684455580927055,0.001658180581282203,eval,8
80822,56,0.046633263289783726,0.0008718049925680413,0.048117163673156105,0.000852244528863468,eval,16
80822,56,0.01660027365965843,0.00023443071563828893,0.017205277299178957,0.00023263966371618795,eval,32
80823,224,0.12994434415206618,0.004738368393173009,0.12362092831832673,0.003967617941134451,train,1
80823,224,0.11478017411800163,0.003381864061108558,0.1106296955301923,0.00288566074341125,train,2
80823,224,0.09708312605467184,0.002491228360981766,0.09388398905383297,0.0021065789334507217,train,4
80823,224,0.07404764531635315,0.0016197804232630354,0.07304089787781982,0.0014332111466871847,train,8
80823,224,0.045533826228852735,0.0008207702419033005,0.04498456505443066,0.0007288606789684657,train,16
80823,224,0.01629811701914797,0.00022660385072971278,0.016542852079132468,0.0002053947911506481,train,32
80823,56,0.1293095228918478,0.0057681630459256155,0.12190552473518294,0.003838996705094421,eval,1
80823,56,0.11259096354847599,0.0033317485316891895,0.10754409905963325,0.0028634750383597874,eval,2
80823,56,0.09420890507951708,0.00235832452216729,0.09216874526229647,0.0020806632791561764,eval,4
80823,56,0.0710504176240368,0.0015102771689446642,0.07039744346316112,0.001417030478143949,eval,8
80823,56,0.04310024486822221,0.0007582955406346764,0.04362000561495755,0.0007114363167466961,eval,16
80823,56,0.015274158283892347,0.00020240269405371724,0.01642199342141503,0.00020267666950430637,eval,32
